"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","741","Long input values","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1406","Page stable after multiple reloads","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","591","Mobile view loads","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","2018","Login with only email","webkit","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","714","Voter login button visible on homepage","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","767","Favicon present","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1036","Long input values","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","2096","Input field types correct","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","2570","Login fields visible","webkit","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","577","Register page loads","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","2007","Invalid email format validation","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1955","Multiple clicks voter login","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","2195","Refresh login page","firefox","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","1367","Mobile view login page","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","916","Page loads without crash","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","3908","Admin button navigates to login page","firefox","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","0","Invalid login","chromium","2026-04-02","skipped","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","1614","Login page URL correct","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","792","Live tag visible","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","0","Page title is correct","firefox","2026-04-02","skipped","2026-04-02","Homepage Tests","home.spec.js","",""
"","423","Multiple clicks on results button","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1231","Invalid email format","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","744","Vote count format valid","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1451","No console errors on login page","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","601","Subtext visible","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","768","Candidate list visible","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","2094","Login with only email","firefox","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","1110","Only email filled","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","376","Register page loads","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1867","Password field masked","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","782","Page refresh","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","750","Invalid voter ID format","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","656","Page stable after multiple reloads","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","247","has title","chromium","2026-04-02","passed","2026-04-02","","example.spec.js","",""
"","1185","Trim spaces in input fields","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1883","Login with only password","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","618","Password is masked","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1326","Forward navigation","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","715","Forward navigation works","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1598","Refresh login page","chromium","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","426","Navigate to results page","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","524","Forward navigation works","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","735","Page loads without crash","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","984","Candidate list visible","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","728","Percentage values present (if available)","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","619","Results persist after reload","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","549","Homepage loads successfully","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1268","Back navigation to homepage","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1044","Election card visible","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","514","Heading CSS check","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1321","Missing voter ID","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
